"Chelan","TESLA","MODEL 3","215"
"Chelan","TOYOTA","RAV4 PRIME","42"
"Clallam","TESLA","MODEL S","208"
"Clallam","TESLA","MODEL X","200"
"Clark","TESLA","MODEL 3","322"
"Clark","CHEVROLET","BOLT EV","259"
"Clark","HYUNDAI","KONA","258"
"Clark","KIA","NIRO","239"
"Clark","TESLA","MODEL S","210"
"Clark","TESLA","MODEL X","200"
"Clark","HYUNDAI","IONIQ","170"
"Clark","NISSAN","LEAF","150"
"Clark","CHEVROLET","VOLT","53"
"Clark","HONDA","CLARITY","47"
"Clark","TOYOTA","RAV4 PRIME","42"
"Clark","VOLVO","S60","41"
"Clark","TOYOTA","PRIUS PRIME","39"
"Clark","FORD","ESCAPE","38"
"Clark","VOLVO","XC60","35"
"Clark","KIA","SPORTAGE","34"
"Clark","CHRYSLER","PACIFICA","33"
"Clark","VOLVO","XC90","32"
"Clark","BMW","X5","30"
"Clark","LINCOLN","CORSAIR","28"
"Clark","HYUNDAI","SONATA","27"
"Clark","FORD","FUSION","26"
"Clark","MAZDA","CX-90","26"
"Clark","JEEP","GRAND CHEROKEE","25"
"Clark","MITSUBISHI","OUTLANDER","22"
"Clark","JEEP","WRANGLER","21"
"Clark","AUDI","Q5 E","20"
"Clark","FORD","C-MAX","20"
"Clark","BMW","530E","18"
"Clark","AUDI","A3","16"
"Clark","PORSCHE","CAYENNE","14"
"Clark","TOYOTA","PRIUS PLUG-IN","6"
"Clark","BMW","I4","0"
"Clark","BMW","IX","0"
"Clark","CADILLAC","LYRIQ","0"
"Clark","CHEVROLET","BOLT EUV","0"
"Clark","CHEVROLET","EQUINOX EV","0"
"Clark","FORD","F-150","0"
"Clark","FORD","MUSTANG MACH-E","0"
"Clark","FORD","TRANSIT","0"
"Clark","HYUNDAI","IONIQ 6","0"
"Clark","KIA","EV6","0"
"Clark","MERCEDES-BENZ","EQB-CLASS","0"
"Clark","MERCEDES-BENZ","EQE-CLASS SUV","0"
"Clark","MERCEDES-BENZ","EQS-CLASS SUV","0"
"Clark","NISSAN","ARIYA","0"
"Clark","POLESTAR","PS2","0"
"Clark","RIVIAN","R1S","0"
"Clark","SUBARU","SOLTERRA","0"
"Clark","TESLA","MODEL Y","0"
"Clark","TOYOTA","BZ4X","0"
"Clark","VOLKSWAGEN","ID.4","0"
"Clark","VOLVO","C40","0"
"Clark","VOLVO","XC40","0"
"Cowlitz","TESLA","MODEL Y","291"
"Cowlitz","CHEVROLET","BOLT EV","259"
"Cowlitz","TESLA","MODEL S","249"
"Cowlitz","TESLA","MODEL 3","220"
"Cowlitz","NISSAN","LEAF","84"
"Cowlitz","TOYOTA","RAV4 PRIME","42"
"Cowlitz","TOYOTA","PRIUS PRIME","39"
"Cowlitz","CHEVROLET","VOLT","38"
"Cowlitz","MITSUBISHI","OUTLANDER","38"
"Cowlitz","KIA","NIRO","33"
"Cowlitz","JEEP","WRANGLER","21"
"Cowlitz","FORD","C-MAX","19"
"Cowlitz","FORD","FUSION","19"
"Cowlitz","VOLVO","XC90","18"
"Cowlitz","CHEVROLET","EQUINOX EV","0"
"Cowlitz","HONDA","PROLOGUE","0"
"Grant","MAZDA","CX-90","26"
"Grant","BMW","I8","14"
"Grant","HYUNDAI","IONIQ 6","0"
"Island","TESLA","MODEL 3","215"
"Island","NISSAN","LEAF","151"
"Island","HYUNDAI","IONIQ","124"
"Island","MINI","HARDTOP","110"
"Island","CHEVROLET","VOLT","53"
"Island","KIA","SORENTO","32"
"Island","KIA","NIRO","26"
"Island","TOYOTA","PRIUS PRIME","25"
"Island","TESLA","MODEL Y","0"
"Jefferson","TESLA","MODEL 3","266"
"Jefferson","CHEVROLET","VOLT","53"
"Jefferson","TOYOTA","RAV4 PRIME","42"
"Jefferson","BMW","X5","39"
"Jefferson","FORD","ESCAPE","38"
"Jefferson","KIA","SPORTAGE","34"
"Jefferson","TOYOTA","PRIUS PLUG-IN","6"
"Jefferson","CHEVROLET","BOLT EUV","0"
